NAME | DESCRIPTION
Dr. Madison Li {U}{R}{W} | Whenever you cast an artifact spell, you get {E} (an energy counter). {T}, Pay {E}: Target creature gets +1/+0 and gains trample and haste until end of turn. {T}, Pay {E}{E}{E}: Draw a card. {T}, Pay {E}{E}{E}{E}{E}: Return target artifact card from your graveyard to the battlefield tapped.
ED-E, Lonesome Eyebot {3} | Flying ED-E My Love — Whenever you attack, if the number of attacking creatures is greater than the number of quest counters on ED-E, Lonesome Eyebot, put a quest counter on it. {2}, Sacrifice ED-E: Draw a card, then draw an additional card for each quest counter on ED-E.
Skullclamp {1} | Equipped creature gets +1/-1. Whenever equipped creature dies, draw two cards. Equip {1}
Isolated Chapel | Isolated Chapel enters tapped unless you control a Plains or a Swamp. {T}: Add {W} or {B}.
Liberty Prime, Recharged {2}{U}{R}{W} | Vigilance, trample, haste Whenever Liberty Prime, Recharged attacks or blocks, sacrifice it unless you pay {E}{E} (two energy counters). {2}, {T}, Sacrifice an artifact: You get {E}{E} and draw a card.
Steel Overseer {2} | {T}: Put a +1/+1 counter on each artifact creature you control.
Liberty Prime, Recharged {2}{U}{R}{W} | Vigilance, trample, haste Whenever Liberty Prime, Recharged attacks or blocks, sacrifice it unless you pay {E}{E} (two energy counters). {2}, {T}, Sacrifice an artifact: You get {E}{E} and draw a card.
Expert-Level Safe {2} | When Expert-Level Safe enters, exile the top two cards of your library face down. {1}, {T}: You and target opponent each secretly choose 1, 2, or 3. Then those choices are revealed. If they match, sacrifice Expert-Level Safe and put all cards exiled with it into their owners’ hands. Otherwise, exile the top card of your library face down.
Strong Back {2}{G} | Enchant creature Equip abilities you activate that target enchanted creature cost {3} less to activate. Aura spells you cast that target enchanted creature cost {3} less to cast. Enchanted creature gets +2/+2 for each Aura and Equipment attached to it.
Rampaging Yao Guai {X}{G}{G}{G} | Vigilance, trample Rampaging Yao Guai enters with X +1/+1 counters on it. When Rampaging Yao Guai enters, destroy any number of target artifacts and/or enchantments with total mana value X or less.
Command Tower | {T}: Add one mana of any color in your commander’s color identity.
The Wise Mothman {1}{B}{G}{U} | Flying Whenever The Wise Mothman enters or attacks, each player gets a rad counter. Whenever one or more nonland cards are milled, put a +1/+1 counter on each of up to X target creatures, where X is the number of nonland cards milled this way.
The Wise Mothman {1}{B}{G}{U} | Flying Whenever The Wise Mothman enters or attacks, each player gets a rad counter. Whenever one or more nonland cards are milled, put a +1/+1 counter on each of up to X target creatures, where X is the number of nonland cards milled this way.
Mister Gutsy {2} | Whenever you cast an Aura or Equipment spell, put a +1/+1 counter on Mister Gutsy. When Mister Gutsy dies, create X Junk tokens, where X is the number of +1/+1 counters on it. (They’re artifacts with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Lily Bowen, Raging Grandma {3}{G} | Vigilance Lily Bowen, Raging Grandma enters with two +1/+1 counters on it. At the beginning of your upkeep, double the number of +1/+1 counters on Lily Bowen if its power is 16 or less. Otherwise, remove all but one +1/+1 counter from it, then you gain 1 life for each +1/+1 counter removed this way.
Sol Ring {1} | {T}: Add {C}{C}.
Nuka-Nuke Launcher {2} | Equipped creature gets +3/+0 and has intimidate. (It can’t be blocked except by artifact creatures and/or creatures that share a color with it.) Whenever equipped creature attacks, until the end of defending player’s next turn, that player gets two rad counters whenever they cast a spell. Equip {3}
The Master, Transcendent {1}{B}{G}{U} | When The Master, Transcendent enters, target player gets two rad counters. {T}: Put target creature card in a graveyard that was milled this turn onto the battlefield under your control. It’s a green Mutant with base power and toughness 3/3. (It loses its other colors and creature types.)
Jungle Shrine | Jungle Shrine enters tapped. {T}: Add {R}, {G}, or {W}.
Swiftfoot Boots {2} | Equipped creature has hexproof and haste. (It can’t be the target of spells or abilities your opponents control.) Equip {1}
The Master, Transcendent {1}{B}{G}{U} | When The Master, Transcendent enters, target player gets two rad counters. {T}: Put target creature card in a graveyard that was milled this turn onto the battlefield under your control. It’s a green Mutant with base power and toughness 3/3. (It loses its other colors and creature types.)
Mister Gutsy {2} | Whenever you cast an Aura or Equipment spell, put a +1/+1 counter on Mister Gutsy. When Mister Gutsy dies, create X Junk tokens, where X is the number of +1/+1 counters on it. (They’re artifacts with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Strong, the Brutish Thespian {4}{G}{G} | Ward {2} Enrage — Whenever Strong is dealt damage, you get three rad counters and put three +1/+1 counters on Strong. You gain life rather than lose life from radiation.
Strong Back {2}{G} | Enchant creature Equip abilities you activate that target enchanted creature cost {3} less to activate. Aura spells you cast that target enchanted creature cost {3} less to cast. Enchanted creature gets +2/+2 for each Aura and Equipment attached to it.
Preston Garvey, Minuteman {2}{R}{G}{W} | At the beginning of combat on your turn, create a green Aura enchantment token named Settlement attached to up to one target land you control. It has enchant land and “Enchanted land has ‘{T}: Add one mana of any color.’” Whenever Preston Garvey, Minuteman attacks, untap each enchanted permanent you control.
Wasteland | {T}: Add {C}. {T}, Sacrifice Wasteland: Destroy target nonbasic land.
Intelligence Bobblehead {3} | {T}: Add one mana of any color. {5}, {T}: Draw X cards, where X is the number of Bobbleheads you control.
Power Fist {1}{G} | Equipped creature has trample and “Whenever this creature deals combat damage to a player, put that many +1/+1 counters on it.” Equip {2}
Nuka-Cola Vending Machine {3} | {1}, {T}: Create a Food token. (It’s an artifact with “{2}, {T}, Sacrifice this artifact: You gain 3 life.”) Whenever you sacrifice a Food, create a tapped Treasure token. (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)
Talisman of Conviction {2} | {T}: Add {C}. {T}: Add {R} or {W}. Talisman of Conviction deals 1 damage to you.
Dr. Madison Li {U}{R}{W} | Whenever you cast an artifact spell, you get {E} (an energy counter). {T}, Pay {E}: Target creature gets +1/+0 and gains trample and haste until end of turn. {T}, Pay {E}{E}{E}: Draw a card. {T}, Pay {E}{E}{E}{E}{E}: Return target artifact card from your graveyard to the battlefield tapped.
Mortuary Mire | Mortuary Mire enters tapped. When Mortuary Mire enters, you may put target creature card from your graveyard on top of your library. {T}: Add {B}.
Perception Bobblehead {3} | {T}: Add one mana of any color. {3}, {T}: Look at the top X cards of your library, where X is the number of Bobbleheads you control. You may cast a spell with mana value 3 or less from among them without paying its mana cost. Put the rest on the bottom of your library in a random order.
Mr. House, President and CEO {R}{W}{B} | Whenever you roll a 4 or higher, create a 3/3 colorless Robot artifact creature token. If you rolled 6 or higher, instead create that token and a Treasure token. {4}, {T}: Roll a six-sided die plus an additional six-sided die for each mana from Treasures spent to activate this ability.
Mr. House, President and CEO {R}{W}{B} | Whenever you roll a 4 or higher, create a 3/3 colorless Robot artifact creature token. If you rolled 6 or higher, instead create that token and a Treasure token. {4}, {T}: Roll a six-sided die plus an additional six-sided die for each mana from Treasures spent to activate this ability.
Nuka-Cola Vending Machine {3} | {1}, {T}: Create a Food token. (It’s an artifact with “{2}, {T}, Sacrifice this artifact: You gain 3 life.”) Whenever you sacrifice a Food, create a tapped Treasure token. (It’s an artifact with “{T}, Sacrifice this artifact: Add one mana of any color.”)
Tato Farmer {2}{G} | Landfall — Whenever a land you control enters, you may get two rad counters. {T}: Put target land card in a graveyard that was milled this turn onto the battlefield under your control tapped.
Strong, the Brutish Thespian {4}{G}{G} | Ward {2} Enrage — Whenever Strong is dealt damage, you get three rad counters and put three +1/+1 counters on Strong. You gain life rather than lose life from radiation.
Talisman of Hierarchy {2} | {T}: Add {C}. {T}: Add {W} or {B}. Talisman of Hierarchy deals 1 damage to you.
Memorial to Glory | Memorial to Glory enters tapped. {T}: Add {W}. {3}{W}, {T}, Sacrifice Memorial to Glory: Create two 1/1 white Soldier creature tokens.
Aradesh, the Founder {2}{W} | Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature’s until end of turn.) Whenever a creature you control attacks, if it enlisted a creature this combat, the creature that attacked gains double strike until end of turn. If that creature’s power is 4 or greater, draw a card.
Battle of Hoover Dam {3}{W} | As Battle of Hoover Dam enters, choose NCR or Legion. • NCR — At the beginning of your end step, return target creature card with mana value 3 or less from your graveyard to the battlefield with a finality counter on it. • Legion — Whenever a creature you control dies, put two +1/+1 counters on target creature you control.
Luck Bobblehead {3} | {T}: Add one mana of any color. {1}, {T}: Roll X six-sided dice, where X is the number of Bobbleheads you control. Create a tapped Treasure token for each even result. If you rolled 6 exactly seven times, you win the game.
Boomer Scrapper {1}{B}{R} | Whenever Boomer Scrapper enters or attacks, you lose 1 life and create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”) Whenever a token you control leaves the battlefield, put a +1/+1 counter on Boomer Scrapper.
Pip-Boy 3000 {1} | Whenever equipped creature attacks, choose one — • Sort Inventory — Draw a card, then discard a card. • Pick a Perk — Put a +1/+1 counter on that creature. • Check Map — Untap up to two target lands. Equip {2}
Preston Garvey, Minuteman {2}{R}{G}{W} | At the beginning of combat on your turn, create a green Aura enchantment token named Settlement attached to up to one target land you control. It has enchant land and “Enchanted land has ‘{T}: Add one mana of any color.’” Whenever Preston Garvey, Minuteman attacks, untap each enchanted permanent you control.
Arcade Gannon {2}{W}{U} | {T}: Draw a card, then discard a card. Put a quest counter on Arcade Gannon. For Auld Lang Syne — Once during each of your turns, you may cast an artifact or Human spell from your graveyard with mana value less than or equal to the number of quest counters on Arcade Gannon.
Recon Craft Theta {4} | Flying When Recon Craft Theta enters, create a 0/0 blue Alien creature token. Put a +1/+1 counter on it. Whenever Recon Craft Theta attacks, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.) Crew 2
Brotherhood Outcast {2}{W} | When Brotherhood Outcast enters, choose one — • Return target Aura or Equipment card with mana value 3 or less from your graveyard to the battlefield. • Put a shield counter on target creature. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
The Wise Mothman {1}{B}{G}{U} | Flying Whenever The Wise Mothman enters or attacks, each player gets a rad counter. Whenever one or more nonland cards are milled, put a +1/+1 counter on each of up to X target creatures, where X is the number of nonland cards milled this way.
Mossfire Valley | {1}, {T}: Add {R}{G}.
Talisman of Creativity {2} | {T}: Add {C}. {T}: Add {U} or {R}. Talisman of Creativity deals 1 damage to you.
Nuka-Nuke Launcher {2} | Equipped creature gets +3/+0 and has intimidate. (It can’t be blocked except by artifact creatures and/or creatures that share a color with it.) Whenever equipped creature attacks, until the end of defending player’s next turn, that player gets two rad counters whenever they cast a spell. Equip {3}
Tato Farmer {2}{G} | Landfall — Whenever a land you control enters, you may get two rad counters. {T}: Put target land card in a graveyard that was milled this turn onto the battlefield under your control tapped.
Agent Frank Horrigan {5}{B}{G} | Trample Agent Frank Horrigan has indestructible as long as it attacked this turn. Whenever Agent Frank Horrigan enters or attacks, proliferate twice. (To proliferate, choose any number of permanents and/or players, then give each another counter of each kind already there.)
Overseer of Vault 76 {2}{W} | First Contact — Whenever Overseer of Vault 76 or another creature you control with power 3 or less enters, put a quest counter on Overseer of Vault 76. At the beginning of combat on your turn, you may remove three quest counters from among permanents you control. When you do, put a +1/+1 counter on each creature you control and they gain vigilance until end of turn.
Nesting Grounds | {T}: Add {C}. {1}, {T}: Move a counter from target permanent you control onto another target permanent. Activate only as a sorcery.
Automated Assembly Line {1}{W} | Whenever one or more artifact creatures you control deal combat damage to a player, you get {E} (an energy counter). Pay {E}{E}{E}: Create a tapped 3/3 colorless Robot artifact creature token.
Paladin Danse, Steel Maverick {2}{W} | Vigilance, lifelink Exile Paladin Danse, Steel Maverick: Each creature you control that’s an artifact or Human gains indestructible until end of turn.
Brotherhood Outcast {2}{W} | When Brotherhood Outcast enters, choose one — • Return target Aura or Equipment card with mana value 3 or less from your graveyard to the battlefield. • Put a shield counter on target creature. (If it would be dealt damage or destroyed, remove a shield counter from it instead.)
Cait, Cage Brawler {R}{G} | During your turn, Cait, Cage Brawler has indestructible. Whenever Cait attacks, you and defending player each draw a card, then discard a card. Put two +1/+1 counters on Cait if you discarded the card with the highest mana value among those cards or tied for highest.
Pip-Boy 3000 {1} | Whenever equipped creature attacks, choose one — • Sort Inventory — Draw a card, then discard a card. • Pick a Perk — Put a +1/+1 counter on that creature. • Check Map — Untap up to two target lands. Equip {2}
T-45 Power Armor {2} | When T-45 Power Armor enters, you get {E}{E} (two energy counters). Equipped creature gets +3/+3 and doesn’t untap during its controller’s untap step. At the beginning of your upkeep, you may pay {E}. If you do, untap equipped creature, then put your choice of a menace, trample, or lifelink counter on it. Equip {3}
Talisman of Indulgence {2} | {T}: Add {C}. {T}: Add {B} or {R}. Talisman of Indulgence deals 1 damage to you.
Boomer Scrapper {1}{B}{R} | Whenever Boomer Scrapper enters or attacks, you lose 1 life and create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”) Whenever a token you control leaves the battlefield, put a +1/+1 counter on Boomer Scrapper.
Aradesh, the Founder {2}{W} | Enlist (As this creature attacks, you may tap a nonattacking creature you control without summoning sickness. When you do, add its power to this creature’s until end of turn.) Whenever a creature you control attacks, if it enlisted a creature this combat, the creature that attacked gains double strike until end of turn. If that creature’s power is 4 or greater, draw a card.
Silver Shroud Costume {2} | Flash When Silver Shroud Costume enters, attach it to target creature you control. That creature gains shroud until end of turn. (It can’t be the target of spells or abilities.) Equipped creature can’t be blocked. Equip {3}
Caesar, Legion's Emperor {1}{R}{W}{B} | Whenever you attack, you may sacrifice another creature. When you do, choose two — • Create two 1/1 red and white Soldier creature tokens with haste that are tapped and attacking. • You draw a card and you lose 1 life. • Caesar, Legion’s Emperor deals damage equal to the number of creature tokens you control to target opponent.
Myriad Landscape | Myriad Landscape enters tapped. {T}: Add {C}. {2}, {T}, Sacrifice Myriad Landscape: Search your library for up to two basic land cards that share a land type, put them onto the battlefield tapped, then shuffle.
Talisman of Curiosity {2} | {T}: Add {C}. {T}: Add {G} or {U}. Talisman of Curiosity deals 1 damage to you.
Brotherhood Scribe {1}{W} | Metalcraft — {T}: You get {E} (an energy counter). Activate only if you control three or more artifacts. Whenever you get one or more {E} during your turn, creatures you control get +1/+1 until end of turn.
Perception Bobblehead {3} | {T}: Add one mana of any color. {3}, {T}: Look at the top X cards of your library, where X is the number of Bobbleheads you control. You may cast a spell with mana value 3 or less from among them without paying its mana cost. Put the rest on the bottom of your library in a random order.
Securitron Squadron {1}{W} | Squad {3} (As an additional cost to cast this spell, you may pay {3} any number of times. When this creature enters, create that many tokens that are copies of it.) Vigilance Whenever a creature token you control enters, put a +1/+1 counter on it.
Brotherhood Scribe {1}{W} | Metalcraft — {T}: You get {E} (an energy counter). Activate only if you control three or more artifacts. Whenever you get one or more {E} during your turn, creatures you control get +1/+1 until end of turn.
Agent Frank Horrigan {5}{B}{G} | Trample Agent Frank Horrigan has indestructible as long as it attacked this turn. Whenever Agent Frank Horrigan enters or attacks, proliferate twice. (To proliferate, choose any number of permanents and/or players, then give each another counter of each kind already there.)
Recon Craft Theta {4} | Flying When Recon Craft Theta enters, create a 0/0 blue Alien creature token. Put a +1/+1 counter on it. Whenever Recon Craft Theta attacks, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.) Crew 2
Almost Perfect {4}{G}{W} | Enchant creature Enchanted creature has base power and toughness 9/10 and has indestructible.
Desolate Mire | {1}, {T}: Add {W}{B}.
Survivor's Med Kit {1} | {1}, {T}: Choose one that hasn’t been chosen — • Stimpak — Draw a card. • Fancy Lads Snack Cakes — Create a Food token. (It’s an artifact with “{2}, {T}, Sacrifice this artifact: You gain 3 life.”) • RadAway — Target player loses all rad counters. Sacrifice Survivor’s Med Kit.
Pre-War Formalwear {2}{W} | When Pre-War Formalwear enters, return target creature card with mana value 3 or less from your graveyard to the battlefield and attach Pre-War Formalwear to it. Equipped creature gets +2/+2 and has vigilance. Equip {3}
Talisman of Progress {2} | {T}: Add {C}. {T}: Add {W} or {U}. Talisman of Progress deals 1 damage to you.
Nomad Outpost | Nomad Outpost enters tapped. {T}: Add {R}, {W}, or {B}.
Dogmeat, Ever Loyal {R}{G}{W} | When Dogmeat enters, mill five cards, then return an Aura or Equipment card from your graveyard to your hand. Whenever a creature you control that’s enchanted or equipped attacks, create a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Strength Bobblehead {3} | {T}: Add one mana of any color. {3}, {T}: Put X +1/+1 counters on target creature, where X is the number of Bobbleheads you control. Activate only as a sorcery.
Battle of Hoover Dam {3}{W} | As Battle of Hoover Dam enters, choose NCR or Legion. • NCR — At the beginning of your end step, return target creature card with mana value 3 or less from your graveyard to the battlefield with a finality counter on it. • Legion — Whenever a creature you control dies, put two +1/+1 counters on target creature you control.
Cait, Cage Brawler {R}{G} | During your turn, Cait, Cage Brawler has indestructible. Whenever Cait attacks, you and defending player each draw a card, then discard a card. Put two +1/+1 counters on Cait if you discarded the card with the highest mana value among those cards or tied for highest.
Mystic Monastery | Mystic Monastery enters tapped. {T}: Add {U}, {R}, or {W}.
Automated Assembly Line {1}{W} | Whenever one or more artifact creatures you control deal combat damage to a player, you get {E} (an energy counter). Pay {E}{E}{E}: Create a tapped 3/3 colorless Robot artifact creature token.
Cass, Hand of Vengeance {2}{R}{W} | Vigilance Whenever Cass or another creature you control dies, if it was enchanted or equipped, return any number of Aura cards that were attached to it from your graveyard to the battlefield attached to target creature, then attach any number of Equipment that were attached to it to that creature.
Codsworth, Handy Helper {2}{W} | Commanders you control have ward {2}. {T}: Add {W}{W}. Spend this mana only to cast Aura and/or Equipment spells. {T}: Attach target Aura or Equipment you control to target creature you control. Activate only as a sorcery.
Almost Perfect {4}{G}{W} | Enchant creature Enchanted creature has base power and toughness 9/10 and has indestructible.
Talisman of Dominance {2} | {T}: Add {C}. {T}: Add {U} or {B}. Talisman of Dominance deals 1 damage to you.
Silver Shroud Costume {2} | Flash When Silver Shroud Costume enters, attach it to target creature you control. That creature gains shroud until end of turn. (It can’t be the target of spells or abilities.) Equipped creature can’t be blocked. Equip {3}
Codsworth, Handy Helper {2}{W} | Commanders you control have ward {2}. {T}: Add {W}{W}. Spend this mana only to cast Aura and/or Equipment spells. {T}: Attach target Aura or Equipment you control to target creature you control. Activate only as a sorcery.
Diamond City | Diamond City enters with a shield counter on it. (If it would be dealt damage or destroyed, remove a shield counter from it instead.) {T}: Add {C}. {T}: Move a shield counter from Diamond City onto target creature. Activate only if two or more creatures entered the battlefield under your control this turn.
Sunscorched Divide | {1}, {T}: Add {R}{W}.
Thought Vessel {2} | You have no maximum hand size. {T}: Add {C}.
The Prydwen, Steel Flagship {4}{W}{W} | Flying Whenever another nontoken artifact enters under your control, create a 2/2 white Human Knight creature token with “This creature gets +2/+2 as long as an artifact entered the battlefield under your control this turn.” Crew 2
Talisman of Resilience {2} | {T}: Add {C}. {T}: Add {B} or {G}. Talisman of Resilience deals 1 damage to you.
T-45 Power Armor {2} | When T-45 Power Armor enters, you get {E}{E} (two energy counters). Equipped creature gets +3/+3 and doesn’t untap during its controller’s untap step. At the beginning of your upkeep, you may pay {E}. If you do, untap equipped creature, then put your choice of a menace, trample, or lifelink counter on it. Equip {3}
Colonel Autumn {1}{W}{B} | Lifelink Exploit (When this creature enters, you may sacrifice a creature.) Other legendary creatures you control have exploit. Whenever a creature you control exploits a creature, put a +1/+1 counter on each creature you control.
Sentry Bot {4}{W} | Flash This spell costs {1} less to cast for each creature attacking you. When Sentry Bot enters, you get {E} for each creature attacking you. At the beginning of combat on your turn, you may pay {E}{E}{E}. If you do, put a +1/+1 counter on each creature you control.
Opulent Palace | Opulent Palace enters tapped. {T}: Add {B}, {G}, or {U}.
Survivor's Med Kit {1} | {1}, {T}: Choose one that hasn’t been chosen — • Stimpak — Draw a card. • Fancy Lads Snack Cakes — Create a Food token. (It’s an artifact with “{2}, {T}, Sacrifice this artifact: You gain 3 life.”) • RadAway — Target player loses all rad counters. Sacrifice Survivor’s Med Kit.
Gary Clone {1}{W} | Squad {2} (As an additional cost to cast this spell, you may pay {2} any number of times. When this creature enters, create that many tokens that are copies of it.) Whenever Gary Clone attacks, each creature you control named Gary Clone gets +1/+0 until end of turn.
Cass, Hand of Vengeance {2}{R}{W} | Vigilance Whenever Cass or another creature you control dies, if it was enchanted or equipped, return any number of Aura cards that were attached to it from your graveyard to the battlefield attached to target creature, then attach any number of Equipment that were attached to it to that creature.
Roadside Reliquary | {T}: Add {C}. {2}, {T}, Sacrifice Roadside Reliquary: Draw a card if you control an artifact. Draw a card if you control an enchantment.
Arcade Gannon {2}{W}{U} | {T}: Draw a card, then discard a card. Put a quest counter on Arcade Gannon. For Auld Lang Syne — Once during each of your turns, you may cast an artifact or Human spell from your graveyard with mana value less than or equal to the number of quest counters on Arcade Gannon.
Sierra, Nuka's Biggest Fan {3}{W} | The Nuka-Cola Challenge — Whenever one or more creatures you control deal combat damage to a player, put a quest counter on Sierra, Nuka’s Biggest Fan and create a Food token. Whenever you sacrifice a Food, target creature you control gets +X/+X until end of turn, where X is the number of quest counters on Sierra.
Mirelurk Queen {4}{U} | Vigilance When Mirelurk Queen enters, target player gets two rad counters. Whenever one or more nonland cards are milled, draw a card, then put a +1/+1 counter on Mirelurk Queen. This ability triggers only once each turn.
Sentry Bot {4}{W} | Flash This spell costs {1} less to cast for each creature attacking you. When Sentry Bot enters, you get {E} for each creature attacking you. At the beginning of combat on your turn, you may pay {E}{E}{E}. If you do, put a +1/+1 counter on each creature you control.
Colonel Autumn {1}{W}{B} | Lifelink Exploit (When this creature enters, you may sacrifice a creature.) Other legendary creatures you control have exploit. Whenever a creature you control exploits a creature, put a +1/+1 counter on each creature you control.
Darkwater Catacombs | {1}, {T}: Add {U}{B}.
Commander Sofia Daguerre {3}{W} | Flash Crash Landing — When Commander Sofia Daguerre enters, destroy up to one target legendary permanent. That permanent’s controller creates a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Drowned Catacomb | Drowned Catacomb enters tapped unless you control an Island or a Swamp. {T}: Add {U} or {B}.
Desdemona, Freedom's Edge {2}{R}{W} | Vigilance Whenever Desdemona, Freedom’s Edge attacks, target creature card in your graveyard that’s an artifact or that has mana value 3 or less gains escape until end of turn. The escape cost is equal to its mana cost plus exile two other cards from your graveyard. (You may cast it from your graveyard for its escape cost this turn.)
Wayfarer's Bauble {1} | {2}, {T}, Sacrifice Wayfarer’s Bauble: Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
Viridescent Bog | {1}, {T}: Add {B}{G}.
Vexing Radgull {1}{U} | Flying Whenever Vexing Radgull deals combat damage to a player, that player gets two rad counters if they don’t have any rad counters. Otherwise, proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Strength Bobblehead {3} | {T}: Add one mana of any color. {3}, {T}: Put X +1/+1 counters on target creature, where X is the number of Bobbleheads you control. Activate only as a sorcery.
Desolate Mire | {1}, {T}: Add {W}{B}.
Hancock, Ghoulish Mayor {2}{B} | Each other creature you control that’s a Zombie or Mutant gets +X/+X, where X is the number of counters on Hancock, Ghoulish Mayor. Undying (When this creature dies, if it had no +1/+1 counters on it, return it to the battlefield under its owner’s control with a +1/+1 counter on it.)
Commander Sofia Daguerre {3}{W} | Flash Crash Landing — When Commander Sofia Daguerre enters, destroy up to one target legendary permanent. That permanent’s controller creates a Junk token. (It’s an artifact with “{T}, Sacrifice this artifact: Exile the top card of your library. You may play that card this turn. Activate only as a sorcery.”)
Path of Ancestry | Path of Ancestry enters tapped. {T}: Add one mana of any color in your commander’s color identity. When that mana is spent to cast a creature spell that shares a creature type with your commander, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
HELIOS One | {T}: Add {C}. {1}, {T}: You get {E} (an energy counter). {3}, {T}, Pay X {E}, Sacrifice HELIOS One: Destroy target nonland permanent with mana value X. Activate only as a sorcery.
Idolized {1}{W} | Enchant creature Enchanted creature has “Whenever this creature attacks alone, it gets +X/+X until end of turn, where X is the number of nonland permanents you control.”
Mutational Advantage {1}{G}{U} | Permanents you control with counters on them gain hexproof and indestructible until end of turn. Prevent all damage that would be dealt to those permanents this turn. Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Moira Brown, Guide Author {1}{R}{W} | When Moira Brown, Guide Author enters, create a colorless Equipment artifact token named Wasteland Survival Guide with “Equipped creature gets +1/+1 for each quest counter among permanents you control” and equip {1}. Whenever you attack, put a quest counter on target nonland permanent you control.
Ferrous Lake | {1}, {T}: Add {U}{R}.
Rogue's Passage | {T}: Add {C}. {4}, {T}: Target creature can’t be blocked this turn.
